CTUID,cisr_dim1,cisr_dim2,cisr_dim3,cisr_score,cisr_quintile,cisv_dim1,cisv_dim2,cisv_dim3,cisv_dim4,cisv_score,cisv_quintile
5350401.07,1.636,0.7769,0.587,1.0,4.625,1.4845,0.1917,-0.7115,-2.1042,-0.2849,2.375
5350401.08,1.8773,0.6313,0.6082,1.039,5.0,1.7891,-0.0112,-0.5959,-2.0149,-0.2082,2.6
5350401.09,1.4895,0.8076,0.9331,1.0767,4.8462,2.0126,0.0045,-0.5184,-2.047,-0.1371,2.7692
5350401.10,1.3929,1.055,0.3612,0.9364,5.0,1.6513,0.0811,-0.4777,-1.7825,-0.1319,3.0
5350401.11,-0.2621,0.2718,0.6416,0.2171,3.6,2.1995,0.2498,0.6796,-1.695,0.3585,4.2
5350401.13,-0.7764,-0.0284,0.4765,-0.1094,2.8889,3.4145,0.806,1.1267,-2.227,0.7801,4.7778
5350401.14,1.3739,1.2177,0.9096,1.1671,5.0,1.7754,0.1849,-0.4605,-2.5716,-0.268,2.3333
5350401.15,0.8871,0.2884,0.0947,0.4234,4.3333,1.8621,0.8622,-0.7055,-0.6269,0.348,4.0
5350401.17,0.1322,0.6666,0.3593,0.386,4.0,2.5562,0.5657,0.2149,-2.2776,0.2648,4.0
5350401.18,0.2314,-1.048,0.6813,-0.0451,3.0,3.7962,0.6061,0.3391,-0.4714,1.0675,5.0
5350401.19,-0.2989,-0.0638,0.0605,-0.1007,2.625,3.0823,0.692,1.0051,-2.2595,0.63,4.625
5350401.20,-0.4888,0.3802,0.6104,0.1672,3.5,2.783,0.6161,0.9079,-2.5785,0.4321,4.5
5350401.21,-0.5259,0.2271,0.7982,0.1665,3.5,3.133,0.6179,0.9212,-2.4919,0.545,4.5
5350401.22,0.7096,0.3852,0.1615,0.4188,4.0,2.511,0.684,0.2548,-2.052,0.3494,4.6667
5350401.23,0.727,0.9785,0.845,0.8502,4.5,2.2055,-0.0204,-0.2476,-2.113,-0.0439,3.0
